;Kalimat;Sesuai;aspek_Budaya Green;aspek_Keselarasan Strategi;aspek_Metode;aspek_Pegawai;aspek_Tata Kelola;aspek_Teknologi Informasi;aspek_Transisi Energi;sentimen_negatif;sentimen_positif
1646;EBT sangat penting bagi keberlanjutan kehidupan manusia;;1;0;0;0;0;0;0;0;1
1647;Strategi untuk mengurangi biaya investasi pembangkit EBT di antaranya dengan mengubah bahan bakar fosil dengan biomass.;1;0;1;0;0;0;0;0;0;1
1648;Banyak lahan bekas tambang batu bara yang direncanakan untuk dijadikan lahan pembangkit EBT;;0;0;0;0;0;0;1;0;1
1649;PLTGU merupakan suatu instalasi peralatan yang berfungsi untuk mengubah energi panas (hasil pembakaran bahan bakar dan udara) menjadi energi listrik yang bermanfaat;;0;0;0;0;0;0;1;0;1
1650;Saya mengetahui bahwa terdapat kajian suhu panas bumi akan bertambah jika emisi gas rumah kaca tidak ditekan;;1;0;0;0;0;0;0;0;1
1651;PLN menerapkan teknologi digital pada pembangkit-pembangkit.;;0;0;0;0;0;1;0;0;1
1652;Ketua Tim memberitahukan hal-hal yang berkaitan dengan pengelolaan berkelanjutan;;0;0;0;1;0;0;0;0;1
1653;Terdapat program Hybrid PLTD dengan Mini Gas LNG (Liquid Natural Gas) sebagai upaya meningkatkan infrastruktur ketenagalistrikan yang lebih bersih dan ramah lingkungan;;0;0;0;0;0;0;1;0;1
1654;PLTB merupakan pembangkit yang intermittent atau berubah-ubah;;0;0;0;0;0;0;1;0;1
1655;Salah satu tujuan strategi green adalah untuk mengurangi sampah/limbah.;;0;0;1;0;0;0;0;0;1
1656;Green Booster adalah program PLN yang dicanangkan mendorong target bauran EBT 23% di tahun 2025;;0;1;0;0;0;0;0;0;1
1657;Menurut saya, implementasi strategi green perlu diimbangi dengan pengembangan teknologi informasi.;;0;0;0;0;0;1;0;0;1
1658;Kami membreakdown target green dari pemerintah menjadi langkah-langkah kerja.;;0;0;1;0;0;0;0;0;1
1659;PLN meningkatkan kualitas produk dengan strategi green.;;0;0;1;0;0;0;0;0;1
1660;Saya senang dapat terlibat dalam semua kolaborasi yang baik untuk keberlanjutan strategi green;;0;0;0;1;0;0;0;0;1
1661;Atasan mengarahkan penggunaan lampu LED di kantor;;1;0;0;0;0;0;0;0;1
1662;Target penambahan populasi kendaraan listrik menjadi bagian dari pencapaian target green.;1;0;0;0;0;1;0;0;0;1
1663;Saya dapat melakukan pengawasan pelaksanaan strategi green melalui aplikasi yang tersedia.;;0;0;0;0;0;1;0;0;1
1664;PLN memberikan bantuan berupa elektro motor untuk kilang tebu menggantikan mesin diesel yang selama ini digunakan oleh petani tebu yang berpolusi;;1;0;0;0;0;0;0;0;1
1665;PLN sudah menyusun standard pencapaian aksi ramah lingkungan.;1;0;0;0;0;1;0;0;0;1
1666;Tidak semua unit bertanggung jawab melaksanakan prosedur bisnis PLN yang ramah lingkungan.;;0;0;0;0;1;0;0;1;0
1667;"PLN mendukung program pemerintah Jakarta yaitu ""Jakarta Langit Biru"" nol emisi pada tahun 2050";;1;0;0;0;0;0;0;0;1
1668;Saya dapat mengakses dengan mudah materi mengenai PLTS dari KM Pusdiklat;;0;0;0;0;0;0;1;0;1
1669;PLN melakukan berbagai kajian untuk mengembangkan strategi green.;1;0;1;0;0;0;0;0;0;1
1670;Membuat workshop-workshop atau materi-materi terkait dengan co-firing;;0;0;0;0;0;0;1;0;1
1671;Saya memperkenalkan Green Business Process pada rekan/bawahan saya;;1;0;0;0;0;0;0;0;1
1672;PLTP adalah pembangkit listrik yang menggunakan Panas Bumi sebagai sumber energinya;;0;0;0;0;0;0;1;0;1
1673;PLN terus mengembangkan ide-ide yang dapat mengganti energi yang berasal dari fossil ke energi bersih;;0;0;0;0;0;0;1;0;1
1674;Tersedia banyak akses pengetahuan tentang hal-hal apa saja yang perlu dilakukan dalam strategi green;;0;0;0;1;0;0;0;0;1
1675;Indonesia memiliki target Energi Baru dan Terbarukan (EBT) sebesar 23% pada bauran energi nasional tahun 2025;1;0;0;0;0;0;0;1;0;1
1676;Unit saya diberi tanggung jawab untuk melaksanakan prosedur bisnis PLN yang ramah lingkungan.;1;0;0;0;0;1;0;0;0;1
1677;Saya ditugaskan membangun kerjasama dengan pihak lain dalam pengembangan teknologi EBT.;1;0;0;0;0;1;0;0;0;1
1678;Saya menyukai hal-hal yang berbau ramah lingkungan khususnya inovasi teknologi;;1;0;0;0;0;0;0;0;1
1679;Di unit ada PLTS 50 KW yang digunakan tidak hanya untuk pembelajaran tapi juga menopang kebutuhan kantor;;1;0;0;0;0;0;0;0;1
1680;PLN menjalankan strategi green karena adanya tuntutan eksternal.;;0;1;0;0;0;0;0;1;0
1681;Terdapat rencana penambahan kapasitas pembangkit EBT menjadi 51% dan fosil 48% dengan pertimbangan kemampuan investasi PLN;;0;0;0;0;0;0;1;0;1
1682;Terdapat informasi dalam bentuk video terkait hydroenergy;1;0;0;0;0;0;0;1;0;1
1683;Saya diberikan pelatihan terkait implemenasi Green Business Process di Perusahaan;;1;0;0;0;0;0;0;0;1
1684;Kolaborasi PLN dengan BUMN lain dalam membangun pembangkit EBT dilakukan berdasarkan penugasan dari Kementerian BUMN.;1;0;0;0;0;1;0;0;0;1
1685;Tidak semua unit operasi dilibatkan dalam pemantauan pembangkit EBT.;;0;0;0;0;1;0;0;1;0
1686;Demi mencapai target bauran EBT 23%, PLN membuat program Green Booster PLN;;0;1;0;0;0;0;0;0;1
1687;Energi panas bumi merupakan energi yang bersumber dari panas yang terkandung dalam perut bumi;;0;0;0;0;0;0;1;0;1
1688;Tahun 2022 PLN berencana untuk mengkonversi PLTD kapasitas 250MW jadi PLTS;;0;0;0;0;0;0;1;0;1
1689;PLN harus bersinergi dengan BUMN lain agar dapat mencapai target net zero emission.;1;0;0;0;0;1;0;0;0;1
1690;Saya masih perlu mengasah kemampuan terkait teknologi informasi untuk mendukung pencapaian strategi green.;;0;0;0;0;0;1;0;0;1
1691;Saya mengarahkan bawahan untuk membuang sampah basah di tempat sampah khusus sampah basah;;1;0;0;0;0;0;0;0;1
1692;Biaya eksplorasi dan juga biaya modal pembangkit listrik geotermal lebih tinggi dibandingkan pembangkit-pembangkit listrik lain yang menggunakan bahan bakar fosil;;0;0;0;0;0;0;1;0;1
1693;PLN membuat iklan sebagai media komunikasi terkait perilaku hemat energi.;;0;0;1;0;0;0;0;0;1
1694;Saya mendorong agar kegiatan konstruksi di unit sejalan dengan strategi green PLN.;1;0;1;0;0;0;0;0;0;1
1695;Untuk mendorong penggunaan energi bersih dan terbarukan di masyarakat PLN membuat berbagai program seperti REC;;0;0;0;0;0;0;1;0;1
1696;Saya memastikan bahwa tahap perencanaan di PLN sudah memenuhi peraturan lingkungan.;1;0;1;0;0;0;0;0;0;1
1697;Salah satu program terobosan PLN adalah digital power plant.;;0;0;0;0;0;1;0;0;1
1698;Setiap unit di PLN bertanggung jawab menjalankan proses bisnis green yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
1699;Saya tidak ikut dalam tahap perencanaan pembangunan pembangkit EBT PLN.;1;0;0;0;0;1;0;0;1;0
1700;PLN belum konsisten mendukung gagasan karyawan mengenai pengembangan energi green.;;0;1;0;0;0;0;0;1;0
1701;Menurut saya, sebaiknya kita memiliki acuan teoritis dalam mencapai strategi green;;0;0;1;0;0;0;0;0;1
1702;PLN mampu menghasilkan energi terbarukan dengan harga yang murah.;;0;0;1;0;0;0;0;0;1
1703;PLN memiliki clean development mechanism.;;0;0;1;0;0;0;0;0;1
1704;Saya menghitung jejak karbon pribadi saya selama berkegiatan;;1;0;0;0;0;0;0;0;1
1705;Unit induk harus berinisiatif menyiapkan pembangkit-pembangkit green bagi unit dan pelanggan yang membutuhkan.;1;0;1;0;0;0;0;0;0;1
1706;Saya merasa implementasi strategi green dapat dipercepat dengan adanya sistem informasi yang terintegrasi.;;0;0;0;0;0;1;0;0;1
1707;Sejauh ini, PLN telah melaksanakan ujicoba co-firing pada 26 PLTU dengan porsi biomassa sebesar 1 - 5%;;0;0;0;0;0;0;1;0;1
1708;Atasan sering merekomendasikan buku bacaan tentang pengelolaan berkelanjutan;;0;0;0;1;0;0;0;0;1
1709;Strategi cofiring dilakukan untuk meminimalisasi investasi pembangkit green.;1;0;1;0;0;0;0;0;0;1
1710;Saya sering mengupdate ilmu saya terkait dengan energi ramah lingkungan;;1;0;0;0;0;0;0;0;1
1711;Saya dapat mengakses data manajemen dengan mudah;;0;0;0;0;0;1;0;0;1
1712;Jenis PLTS thermal seperti PLTS kolektor/pengumpul energi Thermal/Solar Thermal Collector Developmet;1;0;0;0;0;0;0;1;0;1
1713;PLTS sistem On Grid terkoneksi dengan MV Line eksisting dan tanpa menggunakan baterai pada instalasinya;1;0;0;0;0;0;0;1;0;1
1714;Bentuk pembelajaran secara online dirasa lebih efektif dan efisien dalam memahami green,;;0;0;0;0;0;1;0;0;1
1715;Upaya PLN mengembangkan startegi green masih sebatas melakukan berbagai kajian.;;0;1;0;0;0;0;0;1;0
1716;Saya tidak ikut memantau proses perijinan dalam pembangunan pembangkit EBT PLN.;1;0;0;0;0;1;0;0;1;0
1717;Pembangunan pembangkit EBT berskala besar merupakan salah satu strategi Green PLN;;0;1;0;0;0;0;0;0;1
1718;Setiap divisi di PLN telah mamahami prinsip ramah lingkungan. ;1;0;1;0;0;0;0;0;0;1
1719;Saya merasa malu jika tidak berperilaku Green di lingkungan kantor;;1;0;0;0;0;0;0;0;1
1720;Perusahaan mengadakan webinar untuk meningkatkan pengetahuan tentang perilaku ramah lingkungan;;0;0;0;1;0;0;0;0;1
1721;Pemantauan terhadap operasi pembangkit EBT telah dilakukan oleh divisi.;1;0;0;0;0;1;0;0;0;1
1722;Dalam membangun pembangkit energi panas bumi, PLN bersinergi dengan Pertamina.;1;0;0;0;0;1;0;0;0;1
1723;Atasan mengarahkan penyiraman tapak proyek secara teratur, sehingga debu batu bara tidak menyebar terbawa angin;;1;0;0;0;0;0;0;0;1
1724;PLN menyerahkan penentuan harga beli EBT kepada market dengan cara lelang.;;0;0;1;0;0;0;0;0;1
1725;PLN melibatkan pihak swasta dalam membangun EBT.;;0;0;1;0;0;0;0;0;1
1726;Saya belajar untuk melakukan penghematan listrik di kantor;;1;0;0;0;0;0;0;0;1
1727;Efisiensi PLTU bukan merupakan strategi green terbaik yang dilakukan PLN.;1;0;1;0;0;0;0;0;1;0
1728;Dengan teknologi informasi, solusi terkait green dapat dikembangkan.;;0;0;0;0;0;1;0;0;1
1729;Penggunaan teknologi informasi akan mempercepat proses kerja untuk mencapai strategi green.;;0;0;0;0;0;1;0;0;1
1730;Perdagangan karbon (carbon trading) merupakan kegiatan jual beli kredit karbon (carbon credit);;0;0;0;0;0;0;1;0;1
1731;Saya mendukung penerapan teknologi yang ramah lingkungan di perusahaan.;;0;0;0;0;0;1;0;0;1
1732;Saya memperoleh seminar terkait bioenergy;1;0;0;0;0;0;0;1;0;1
1733;Penggunaan biomass di PLTU merupakan transisi energi green yang dilakukan PLN.;;0;1;0;0;0;0;0;0;1
1734;Saya diperkenalkan pimpinan dengan bioenergy.;1;0;0;0;0;0;0;1;0;1
1735;Strategi Green merupakan salah satu upaya PLN untuk menjaga berlanjutan lingkungan hidup;;0;1;0;0;0;0;0;0;1
1736;Saya terlibat dalam knowledge sharing terkait teknologi baru, riset dan karya ilmiah mengenai green.;;0;0;1;0;0;0;0;0;1
1737;Atasan mau mendengarkan ide-ide kami tentang strategi green;;0;0;0;1;0;0;0;0;1
1738;Saya bertanggung jawab menjalankan aktivitas bisnis PLN yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
1739;Saya mendukung PLN dalam melaksanakan pengembangan pembangkit listrik ramah lingkungan.;0;0;0;0;0;1;0;0;0;1
1740;Saya senang dapat terlibat dalam mengembangkan pembangkit ramah lingkungan;;1;0;0;0;0;0;0;0;1
1741;Saya diarahkan untuk mengikuti pelatihan soal solar photovoltaics;;0;0;0;0;0;0;1;0;1
1742;Unit induk memahami bahwa PLN berkomitmen pada pencapaian net zero emission.;1;0;0;0;0;1;0;0;0;1
1743;Divisi Perencanaan dan Enjiniring EBT berperan banyak dalam pengembangan strategi green PLN.;1;0;1;0;0;0;0;0;0;1
1744;Rangkaian PLTMH membutuhkan turbin untuk memutar kumparan dinamo listrik;;0;0;0;0;0;0;1;0;1
1745;Saya menghadiri webinar yang membahas mengenai tidal energy conversion. ;1;0;0;0;0;0;0;1;0;1
1746;Saya senang PLN sudah menerapkan strategi green.;1;0;1;0;0;0;0;0;0;1
1747;Nacelle terdiri dari rotor shaft dengan bedding, gear box (turbin penggerak langsung tidak mempunyai ini), rem (s), kopling, generator, Daya listrik, pendinginan / pemanasan dan derek kecil.;;0;0;0;0;0;0;1;0;1
1748;Saya mengikuti pelatihan terkait pengelolaan limbah FABA;;1;0;0;0;0;0;0;0;1
1749;Ada knowledge sharing terkait inovasi teknologi EBT terbaru;;0;0;0;0;0;0;1;0;1
1750;PLN tetap berupaya memelihara lingkungan dalam menjalankan bisnisnya;;0;1;0;0;0;0;0;0;1
1751;Target penambahan ekosistem kendaraan listrik merupakan bagian tak terpisahkan dari operasi bisnis PLN.;1;0;0;0;0;1;0;0;0;1
1752;Wilayah Maluku, Papua dan Nusa Tenggara kapasitas terpasang pembangkit EBT sebesar 2,05 GW;;0;0;0;0;0;0;1;0;1
1753;Level radiasi matahari bergantung pada lokasi/keberadaan PLTS dan besarnya sudut kemiringan panel surya yang terpasang.;1;0;0;0;0;0;0;1;0;1
1754;PLN mendukung pengembangan Electric Vehicle.;;0;0;1;0;0;0;0;0;1
1755;Kendala dalam membangun suatu pembangkit EBT itu sulit diprediksi.;;0;0;1;0;0;0;0;1;0
1756;Menurut saya, SOP untuk bisnis berkelanjutan merupakan hal yang penting;;0;0;0;0;1;0;0;0;1
1757;Saya memahami langkah-langkah dan target strategi green dengan jelas;;0;0;1;0;0;0;0;0;1
1758;Perusahaan telah melakukan analisa green business process.;;0;0;1;0;0;0;0;0;1
1759;Saya selalu mendapatkan informasi baru terkait isu lingkungan yang terjadi saat ini;;0;0;0;1;0;0;0;0;1
1760;Saya senang mengeluarkan ide-ide yang terkait dengan rehabilitasi lingkungan di sekitar pembangkit PLN;;1;0;0;0;0;0;0;0;1
1761;Harapan saya, PLN punya aplikasi carbon balance.;;0;0;0;0;0;1;0;0;1
1762;Belum semua karyawan memahami prosedur yang berkaitan dengan pelaksanaan bisnis berkelanjutan di PLN.;1;0;0;0;0;1;0;0;1;0
1763;Strategi green menjadi peluang untuk berkompetisi dengan perusahaan sejenis.;;0;0;1;0;0;0;0;0;1
1764;Pusdiklat menyelenggarakan webinar terkait wind energy;;0;0;0;0;0;0;1;0;1
1765;Isu lingkungan menjadi penting untuk kami ketahui;;0;0;0;1;0;0;0;0;1
1766;Saya terlibat dalam program pembangunan Pembangkit Listrik Biogas;;1;0;0;0;0;0;0;0;1
1767;Menurut saya, PLN perlu memiliki tim iT khusus untuk green.;;0;0;0;0;0;1;0;0;1
1768;Saya disuruh buat ikut webinar geothermal;;0;0;0;0;0;0;1;0;1
1769;Saya mendapatkan banyak gambaran mengenai materi-materi PLTS dari COC yang dilakukan setiap minggu;;0;0;0;0;0;0;1;0;1
1770;Kami menyusun rencana anggaran terkait perencanaan eksplorasi geothermal.;;0;0;1;0;0;0;0;0;1
1771;Meminimalisasi penggunaan bahan bakar fosil di PLTU merupakan transisi energi green yang dilakukan PLN.;1;0;1;0;0;0;0;0;0;1
1772;Saya mengarahkan untuk mengubah seluruh lampu kantor ke LED agar lebih hemat listrik;;1;0;0;0;0;0;0;0;1
1773;Saya banyak memperoleh ilmu terkait energi baru dan terbarukan dari atasan;;1;0;0;0;0;0;0;0;1
1774;Saya mengarahkan anak buah untuk mengganti kompor gas ke kompor induksi agar lebih ramah lingkungan;;1;0;0;0;0;0;0;0;1
1775;Saya memperoleh webbinar terkait nuclear energy;1;0;0;0;0;0;0;1;0;1
1776;Saya membutuhkan waktu yang cukup lama untuk mempelajari suatu aplikasi berbasis teknologi.;;0;0;0;0;0;1;0;1;0
1777;Saya menggunakan kendaraan listrik sebagai kendaraan pribadi;;1;0;0;0;0;0;0;0;1
1778;PLTS dengan sistem On Grid terhubung dengan MV Line yang ada tanpa menggunakan bateria pada instalasinya.;1;0;0;0;0;0;0;1;0;1
1779;Sejauh ini aplikasi berbasis IT dapat mendukung implementasi transformasi green.;;0;0;0;0;0;1;0;0;1
1780;PLN mempercepat penyediaan infrastruktur SPKLU untuk mendukung transformasi masyarakat yang beralih ke kendaraan ramah lingkungan;;1;0;0;0;0;0;0;0;1
1781;Saya belum tahu tentang perubahan iklim berbasis aktivitas di lingkungan PLN.;1;0;0;0;0;1;0;0;1;0
1782;Tuntutan pasar global yang mengutamakan aspek green mendorong PLN untuk berpartisipasi dalam strategi green.;1;0;1;0;0;0;0;0;0;1
1783;Paris Agreement adalah dasar dari upaya pemerintah untuk menekan emisi karbon dan meningkatkan penggunaan energi bersih;1;0;0;0;0;0;0;1;0;1
1784;Wind energy adalah proses menangkap pergerakan angin dan mengubahnya menjadi energi mekanik.;;0;0;0;0;0;0;1;0;1
1785;PLN menugaskan saya untuk menjalankan prosedur bisnis yang berkelanjutan.;0;0;0;0;0;1;0;0;0;1
1786;Saya selalu memastikan material sisa konstruksi akan dibersihkan segera setelah konstruksi selesai sesuai aturan yang berlaku;;1;0;0;0;0;0;0;0;1
1787;Saya melakukan pembakaran batu bara dengan proses pulverized coal karena limbahnya dapat dimanfaatkan kembali;;1;0;0;0;0;0;0;0;1
1788;Berbagai cara dilakukan PLN untuk dapat mewujudkan green business.;;0;0;1;0;0;0;0;0;1
1789;Listrik DC dikoversikan menjadi AC dengan alat yang disebut power conditioner atau dikenal juga dengan nama AC Module atau Inverter;;0;0;0;0;0;0;1;0;1
1790;Saya diajak untuk menggunakan kendaraan listrik;;1;0;0;0;0;0;0;0;1
1791;Sistem hybrid biasanya gak pake banyak bahan bakar. ;1;0;0;0;0;0;0;1;0;1
1792;Salah satu inisiatif PLN dalam transformasi green adalah dengan melakukan green booster.;;0;0;1;0;0;0;0;0;1
1793;Bank sampah induk adalah bank sampah yang bertugas untuk membina bank-bank sampah unit di RT-RW;;1;0;0;0;0;0;0;0;1
1794;Kantor induk atau pusat bisa mengakses cloud untuk melihat data-data operasional pembangkit.;;0;0;0;0;0;1;0;0;1
1795;Kami memiliki alternatif langkah bila program green yang direncanakan sulit dilakukan.;;0;0;1;0;0;0;0;0;1
1796;Belum semua divisi di PLN memahami aksi ramah lingkungan.;1;0;1;0;0;0;0;0;1;0
1797;Saya membuat program kegiatan kerja bakti kebersihan di kantor;;1;0;0;0;0;0;0;0;1
1798;Solar Photovoltaic merupakan teknologi yang mengubah sinar radiasi matahari menjadi energi listrik;1;0;0;0;0;0;0;1;0;1
1799;PLN menggunakan kabel bawah laut untuk transfer energi dari Sumatra ke Jawa.;;0;0;1;0;0;0;0;0;1
1800;Saya mendorong PLN untuk mencapai net zero emission sesuai Perjanjian Paris.;1;0;1;0;0;0;0;0;0;1
1801;Saya mengevaluasi kajian strategi green PLN di lingkup unit.;1;0;0;0;0;1;0;0;0;1
1802;Aksi ramah lingkungan sudah dilakukan di setiap unit di PLN.;;0;1;0;0;0;0;0;1;0
1803;Saya memahami Konsensus Paris mengharuskan negara-negara global terlibat dalam transisi green.;1;0;1;0;0;0;0;0;0;1
1804;Perdagangan karbon bermanfaat untuk membantu mengurangi emisi gas rumah kaca;1;0;0;0;0;0;0;1;0;1
1805;Atasan sering menanyakan bagaimana pendapat kami tentang green;;0;0;0;1;0;0;0;0;1
1806;Proses controlling cukup sulit dilakukan pada setiap program green yang dicanangkan oleh PLN.;;0;0;1;0;0;0;0;1;0
1807;Ada aturan yang menjaga standar pencapaian aksi ramah lingkungan di PLN.;1;0;0;0;0;1;0;0;0;1
1808;Strategi green semata dilakukan untuk memenuhi tuntutan pelanggan.;;0;1;0;0;0;0;0;1;0
1809;Karena keluaran dari sel surya sangat kecil maka beberapa sel surya digabung secara sejajar ;;0;0;0;0;0;0;1;0;1
1810;Pola operasi PLTA pumped storage, pada waktu beban puncak air akan dilepas dari upper reservoir ke lower reservoir untuk menghasilkan listrik;;0;0;0;0;0;0;1;0;1
1811;Perusahaan belum konsisten menjalankan strategi green untuk mencapai net zero emission;1;0;1;0;0;0;0;0;1;0
1812;Atasan mengarahkan bawahannya untuk tidak melakukan kegiatan merokok di lingkungan kantor;;1;0;0;0;0;0;0;0;1
1813;Saya memahami bahwa pencapaian target karbon netral harus melibatkan lintas departemen.;1;0;0;0;0;1;0;0;0;1
1814;PLN pernah membuat program Gerakan Konversi Satu Juta Kompor LPG ke Kompor Induksi untuk  meningkatkan konsumsi energi bersih;;1;0;0;0;0;0;0;0;1
1815;Belum semua unit paham mengenai pola kerja terkait green.;;0;0;1;0;0;0;0;1;0
1816;Saya dapat mengetahui proses aktivitas dalam strategi green karena alurnya sudah dibuat dengan jelas;;0;0;1;0;0;0;0;0;1
1817;Salah satu contoh energi terbarukan adalah energi angin.;1;0;0;0;0;0;0;1;0;1
1818;Saya paham dengan strategi green dibuat oleh PLN.;;0;0;1;0;0;0;0;0;1
1819;Temperatur operasi mempengaruhi jumlah produksi energi listrik dari PLTS menjadi turun sekitar 2% - 10%;1;0;0;0;0;0;0;1;0;1
1820;Kondisi tanah/lahan di tempat PLTS dapat menurunkan jumlah produksi enegi sampai dengan 10% dari total produksi;1;0;0;0;0;0;0;1;0;1
1821;Saya mengerti bahwa Konsensus Paris mengharuskan negara-negara global terlibat dalam transisi green.;1;0;1;0;0;0;0;0;0;1
1822;Tingkat radiasi matahari juga tergantung dari lokasi/keberadaan PLTS dan besarnya sudut kemiringan panel surya yang dipasang;1;0;0;0;0;0;0;1;0;1
1823;Aku dikenalkan dengan transisi energi secara general oleh atasan.;1;0;0;0;0;0;0;1;0;1
1824;Strategi transformasi PLTU menjadi green adalah dengan Mengganti bahan bakar fosil dengan biomass adalah .;1;0;1;0;0;0;0;0;0;1
1825;Implementasi strategi green dengan melibatkan karyawan untuk menjual produk-produk green belum efektif.;;0;1;0;0;0;0;0;1;0
1826;PLN mendorong program pengembangan energi bersih bagi masyarakat;;1;0;0;0;0;0;0;0;1
1827;Modul surya terdiri dari beberapa sel photovoltaic yang disambung spesifik untuk menghasilkan arus DC sesuai spesifikasi output;;0;0;0;0;0;0;1;0;1
1828;PLN menerbitkan Renewable Energy Certificate.;;0;0;1;0;0;0;0;0;1
1829;Data-data pembangkit yang masuk ke cloud itu seperti kwh dan parameter-parameter operasi di unit pembangkit.;;0;0;0;0;0;1;0;0;1
1830;Salah satu Green Booster PLN adalah co-firing PLTU dengan mengkombine bahan bakar batu bara dengan biomass;;0;0;0;0;0;0;1;0;1
1831;Saya mendapatkan banyak gambaran mengenai PLTP dari COC yang dilakukan setiap minggu;;0;0;0;0;0;0;1;0;1
1832;Atasan memberikan usul untuk pembuatan TPS khusus untuk B3 di lingkungan kantor;;1;0;0;0;0;0;0;0;1
1833;Saya pikir, listrik yang dihasilkan dari PLTU green tidak sebanding dengan investasi yang dilakukan PLN;1;0;1;0;0;0;0;0;1;0
1834;Kebanyakan panel surya dengan kapasitas yang sama memiliki beda tolerasi kapasitas tidak lebih dari 5%;1;0;0;0;0;0;0;1;0;1
1835;Perlunya perencanaan yang matang untuk mengeksekusi strategi green.;;0;0;1;0;0;0;0;0;1
1836;Strategi Green adalah upaya PLN untuk menekan emisi Gas Rumah Kaca;;0;1;0;0;0;0;0;0;1
1837;Terdapat rencana pembangunan PLTS di lahan bekas tambang;;0;0;0;0;0;0;1;0;1
1838;Terdapat materi terkait EBT di kegiatan-kegiatan COC;;0;0;0;0;0;0;1;0;1
1839;PLN menerapkan ISO 14000 terkait Sistem Manajemen Lingkungan;;1;0;0;0;0;0;0;0;1
1840;Perusahaan menjaring data dari aplikasi untuk menentukan langkah strategis terkait green.;;0;0;0;0;0;1;0;0;1
1841;Saya menyukai jika ada sesi sharing atau materi khusus mengenai EBT karena menambah wawasan saya;;1;0;0;0;0;0;0;0;1
1842;Saya diminta untuk mempelajari soal PLTB;;0;0;0;0;0;0;1;0;1
1843;Saya memastikan penambang yang bekerja sama dengan PLN melakukan kegiatan rehabilitasi di area bekas tambang;;1;0;0;0;0;0;0;0;1
1844;Saya menshare materi materi Pusdiklat terkait energi ramah lingkungan pada rekan saya;;1;0;0;0;0;0;0;0;1
1845;Atasan selalu memberikan informasi tentang hydroenergy.;1;0;0;0;0;0;0;1;0;1
1846;Saya tidak punya cukup waktu untuk mempelajari soal IT untuk mendukung pencapaian green.;;0;0;0;0;0;1;0;1;0
1847;Tahun 2022 akan ada Pembangkit Listrik Tenaga Panas Bumi (PLTP) yang beroperasi sebesar 108 MW;;0;0;0;0;0;0;1;0;1
1848;Manager memberitahukan apa itu pengelolaan keberlanjutan;;0;0;0;1;0;0;0;0;1
1849;Kami hanya mematuhi instruksi untuk menerapkan manajemen lingkungan untuk mendukung strategi green PLN.;1;0;1;0;0;0;0;0;1;0
1850;Saya disertakandalam koordinasi dengan stakeholder dalam menerapkan prosedur green di PLN.;1;0;0;0;0;1;0;0;0;1
1851;Informasi tentang fuell cell dan hydrogen ada yang dalam bentuk video.;1;0;0;0;0;0;0;1;0;1
1852;Saya mengembangkan ide-ide yang dapat membantu mengelola limbah batu bara;;1;0;0;0;0;0;0;0;1
1853;Terdapat transformation Journey story yang rutin dilakukan oleh direksi;;1;0;0;0;0;0;0;0;1
1854;Menurut saya, banyak rencana yang sudah dibuat untuk mencapai strategi green;;0;0;1;0;0;0;0;0;1
1855;Strategi green menjadi wujud komitmen PLN pada pembangunan berkelanjutan.;;0;0;1;0;0;0;0;0;1
1856;Strategi untuk mengurangi investasi pembangkit EBT diantaranya dengan mengubah bahan bakar fosil dengan biomass.;0;0;1;0;0;0;0;0;0;1
1857;Saya merasa kesulitan dalam menjalankan strategi green yang ditentukan oleh pemerintah.;;0;0;1;0;0;0;0;1;0
1858;Atasan mengarahkan penanaman jenis tanaman perdu yang dapat menyerap debu dalam jumlah yang tinggi;;1;0;0;0;0;0;0;0;1
1859;Aksi ramah lingkungan sudah dilakukan di setiap divisi di PLN.;1;0;1;0;0;0;0;0;0;1
1860;Saya aktif mengungkapkan pendapat-pendapat saya untuk memajukan strategi green perusahaan;;0;0;0;1;0;0;0;0;1
1861;Saya mengarahkan untuk tidak membeli makanan/minuman sachet untuk menghindari penumpukan sampah plastik;;1;0;0;0;0;0;0;0;1
1862;Saya sering mengajak sharing rekan saya yang bekerja di bidang EBT dan menggali informasi mengenai hal tersebut;;1;0;0;0;0;0;0;0;1
1863;Fasilitas IT yang ada di PLN membantu saya dalam menjalankan strategi green.;;0;0;0;0;0;1;0;0;1
1864;PLN masih mengembangkan regulasi yang mendukung bisnis yang berkelanjutan.;;0;0;0;0;1;0;0;1;0
1865;Pimpinan memperkenalkan wave energy conversion pada saya.;1;0;0;0;0;0;0;1;0;1
1866;Kajian yang dilakukan Divisi Perencanaan dan Enjiniring EBT belum semua diimplementasikan dalam program transisi energi.;1;0;1;0;0;0;0;0;1;0
1867;Bioenergi merupakan energi terbarukan yang diperoleh dari sumber biologis;1;0;0;0;0;0;0;1;0;1
1868;Saya dijelaskan terkait perilaku industri yang berdampak terhadap permasalahan lingkungan;;1;0;0;0;0;0;0;0;1
1869;Saya mengarahkan untuk optimalisasi penggunaan cloud untuk menyimpan data-data terkait Perusahaan;;1;0;0;0;0;0;0;0;1
1870;Penerapan strategi green yang dilakukan PLN cukup efektif di divisi saya.;1;0;1;0;0;0;0;0;0;1
1871;Menurut saya, pentingnya governance engagement untuk mengambil langkah terkait strategi green di PLN.;;0;0;1;0;0;0;0;0;1
